rq,sc,dm,kp,zg,zd,sp,cjl,cje
20150629,OF,OF150135,1.0160,1.0160,1.0160,1.0160,0,0
20150629,OF,OF150136,0.9540,0.9540,0.9540,0.9540,0,0
20150629,OF,OF150137,1.2470,1.2470,1.2470,1.2470,0,0
20150629,OF,OF150138,1.0050,1.0050,1.0050,1.0050,0,0
20150629,OF,OF150139,0.6270,0.6270,0.6270,0.6270,0,0
20150629,OF,OF150140,1.0300,1.0300,1.0300,1.0300,0,0
20150629,OF,OF150141,1.2369,1.2369,1.2369,1.2369,0,0
20150629,OF,OF150142,1.3230,1.3230,1.3230,1.3230,0,0
20150629,OF,OF150143,1.0000,1.0000,1.0000,1.0000,0,0
20150629,OF,OF150144,1.0000,1.0000,1.0000,1.0000,0,0
20150629,OF,OF150145,1.0170,1.0170,1.0170,1.0170,0,0
20150629,OF,OF150146,1.1210,1.1210,1.1210,1.1210,0,0
20150629,OF,OF150147,1.2780,1.2780,1.2780,1.2780,0,0
20150629,OF,OF150148,1.0120,1.0120,1.0120,1.0120,0,0
20150629,OF,OF150149,0.8840,0.8840,0.8840,0.8840,0,0
20150629,OF,OF150150,1.0110,1.0110,1.0110,1.0110,0,0
20150629,OF,OF150151,0.6990,0.6990,0.6990,0.6990,0,0
20150629,OF,OF150152,1.0060,1.0060,1.0060,1.0060,0,0
20150629,OF,OF150153,0.4760,0.4760,0.4760,0.4760,0,0
20150629,OF,OF150154,1.2370,1.2370,1.2370,1.2370,0,0
20150629,OF,OF150156,1.3090,1.3090,1.3090,1.3090,0,0
20150629,OF,OF150157,1.0320,1.0320,1.0320,1.0320,0,0
20150629,OF,OF150158,1.1640,1.1640,1.1640,1.1640,0,0
20150629,OF,OF150160,1.3720,1.3720,1.3720,1.3720,0,0
20150629,OF,OF150161,1.5570,1.5570,1.5570,1.5570,0,0
20150629,OF,OF150164,1.0290,1.0290,1.0290,1.0290,0,0
20150629,OF,OF150165,0.3460,0.3460,0.3460,0.3460,0,0
20150629,OF,OF150167,1.0290,1.0290,1.0290,1.0290,0,0
20150629,OF,OF150168,1.2190,1.2190,1.2190,1.2190,0,0
20150629,OF,OF150169,1.0270,1.0270,1.0270,1.0270,0,0
20150629,OF,OF150170,1.0890,1.0890,1.0890,1.0890,0,0
20150629,OF,OF150171,1.0163,1.0163,1.0163,1.0163,0,0
20150629,OF,OF150172,0.8165,0.8165,0.8165,0.8165,0,0
20150629,OF,OF150173,1.0040,1.0040,1.0040,1.0040,0,0
20150629,OF,OF150174,0.3500,0.3500,0.3500,0.3500,0,0
20150629,OF,OF150175,1.0357,1.0357,1.0357,1.0357,0,0
20150629,OF,OF150176,1.1806,1.1806,1.1806,1.1806,0,0
20150629,OF,OF150177,1.0150,1.0150,1.0150,1.0150,0,0
20150629,OF,OF150178,0.7150,0.7150,0.7150,0.7150,0,0
20150629,OF,OF150179,1.0070,1.0070,1.0070,1.0070,0,0
20150629,OF,OF150180,0.6470,0.6470,0.6470,0.6470,0,0
20150629,OF,OF150181,1.0100,1.0100,1.0100,1.0100,0,0
20150629,OF,OF150182,1.0560,1.0560,1.0560,1.0560,0,0
20150629,OF,OF150184,1.0044,1.0044,1.0044,1.0044,0,0
20150629,OF,OF150185,0.6322,0.6322,0.6322,0.6322,0,0
20150629,OF,OF150186,1.0561,1.0561,1.0561,1.0561,0,0
20150629,OF,OF150187,0.7467,0.7467,0.7467,0.7467,0,0
20150629,OF,OF150188,1.0260,1.0260,1.0260,1.0260,0,0
20150629,OF,OF150189,0.5790,0.5790,0.5790,0.5790,0,0
20150629,OF,OF150190,1.0150,1.0150,1.0150,1.0150,0,0
20150629,OF,OF150191,0.8810,0.8810,0.8810,0.8810,0,0
20150629,OF,OF150192,1.0030,1.0030,1.0030,1.0030,0,0
20150629,OF,OF150193,0.5450,0.5450,0.5450,0.5450,0,0
20150629,OF,OF150194,1.0050,1.0050,1.0050,1.0050,0,0
20150629,OF,OF150195,0.4490,0.4490,0.4490,0.4490,0,0
20150629,OF,OF150196,1.0164,1.0164,1.0164,1.0164,0,0
20150629,OF,OF150197,0.7740,0.7740,0.7740,0.7740,0,0
20150629,OF,OF150198,1.0065,1.0065,1.0065,1.0065,0,0
20150629,OF,OF150199,0.8875,0.8875,0.8875,0.8875,0,0
20150629,OF,OF150200,1.0380,1.0380,1.0380,1.0380,0,0
20150629,OF,OF150201,0.8840,0.8840,0.8840,0.8840,0,0
20150629,OF,OF150203,1.0150,1.0150,1.0150,1.0150,0,0
20150629,OF,OF150204,0.9070,0.9070,0.9070,0.9070,0,0
20150629,OF,OF150205,1.0090,1.0090,1.0090,1.0090,0,0
20150629,OF,OF150206,1.0390,1.0390,1.0390,1.0390,0,0
20150629,OF,OF150207,1.0050,1.0050,1.0050,1.0050,0,0
20150629,OF,OF150208,0.7970,0.7970,0.7970,0.7970,0,0
20150629,OF,OF150209,1.0050,1.0050,1.0050,1.0050,0,0
20150629,OF,OF150210,0.6810,0.6810,0.6810,0.6810,0,0
20150629,OF,OF150211,1.0150,1.0150,1.0150,1.0150,0,0
20150629,OF,OF150212,1.0570,1.0570,1.0570,1.0570,0,0
20150629,OF,OF150213,1.0170,1.0170,1.0170,1.0170,0,0
20150629,OF,OF150214,0.9460,0.9460,0.9460,0.9460,0,0
20150629,OF,OF150215,1.0145,1.0145,1.0145,1.0145,0,0
20150629,OF,OF150216,0.9003,0.9003,0.9003,0.9003,0,0
